Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Characteristics [Cell Cycle Phase],Term Source 3 REF,Term Source 3 Accession,Experimental Condition [Sister Chromatid Labelling],Experimental Condition [Genome Editing],Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Assay Name,Source Name,Image File,Comment [Image File Path],Comment [Image File Path],Channels,Processed Data File,,,,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-02-83.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_1,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-02-83.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_2,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #1.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #3.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_3,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #3.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #4.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_4,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #4.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #5.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_5,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #5.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #6.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_6,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #6.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #7.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_7,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #7.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #8.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_8,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #8.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #9.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_9,220124_5388_2056_c1_smc4_depleted_rep1_prometa_60min_15h_release_hemi_zoom5-04-84.czi #9.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
SMC4_Prometa_one_sister_labelled,220124_5388_2056_c1_smc4_depleted_rep2_prometa_60min_15h_release_hemi_zoom5-02-85.czi #01.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,SMC4-AID cell line. SMC4 tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of SMC4 upon addition of 5-Ph-IAA.,smc4_dep_prometa_one_sister,ENSG00000113810,SMC4,,sister_chromatid_labelling,smc4_dep_prometa_one_sister_cell_10,220124_5388_2056_c1_smc4_depleted_rep2_prometa_60min_15h_release_hemi_zoom5-02-85.czi #01.tif_registered.tif,idr_upload/images/experiment1/smc4_dep_prometa/smc4_dep_prometa_one_sister,processed,cyclin_b1,smc4,f-ara-edu,hoechst,idr0000_experiment1_processed_sister_chromatid_labelling.txt,
