condition	distance	aligned_distance_around_axes	scc1_fluorescence	f-ara-edu_fluorescence	hoechst_fluorescence	figure_panel	smc4_fluorescence
mean_curves_wapl_depleted_g2	0.0	-0.75995995995996	0.0536440977654305	0.2445470613092061	0.2163358856125546	Fig. 3b	
mean_curves_wapl_depleted_g2	0.035	-0.72495995995996	0.0466084899160262	0.2649245721109498	0.1899823092601802	Fig. 3b	
mean_curves_wapl_depleted_g2	0.071	-0.6889599599599601	0.0428428419498315	0.2907332501419337	0.1670728291618417	Fig. 3b	
mean_curves_wapl_depleted_g2	0.1059999999999999	-0.65395995995996	0.0425115647446677	0.3229793067310261	0.1477907182719077	Fig. 3b	
mean_curves_wapl_depleted_g2	0.141	-0.61895995995996	0.0450999536590741	0.3617182517181499	0.1307198087913735	Fig. 3b	
mean_curves_wapl_depleted_g2	0.1759999999999999	-0.5839599599599601	0.0498803785159295	0.4053517048402002	0.1153150701345154	Fig. 3b	
mean_curves_wapl_depleted_g2	0.2119999999999999	-0.54795995995996	0.0564458073998374	0.4516600881227547	0.1019879304035667	Fig. 3b	
mean_curves_wapl_depleted_g2	0.2469999999999999	-0.5129599599599601	0.0651244793323943	0.4985374122042106	0.0927591758912651	Fig. 3b	
mean_curves_wapl_depleted_g2	0.282	-0.47795995995996	0.0774635357045834	0.5451728900433516	0.0910700498908503	Fig. 3b	
mean_curves_wapl_depleted_g2	0.317	-0.44295995995996	0.0949241930528344	0.59336581658546	0.0965155739999847	Fig. 3b	
mean_curves_wapl_depleted_g2	0.353	-0.40695995995996	0.1191799584696178	0.6442204411894841	0.1052637820296046	Fig. 3b	
mean_curves_wapl_depleted_g2	0.3879999999999999	-0.37195995995996	0.1525267343070873	0.6968603487729643	0.1133738392847618	Fig. 3b	
mean_curves_wapl_depleted_g2	0.4229999999999999	-0.3369599599599601	0.1967117976667799	0.748469738858931	0.1215471852170664	Fig. 3b	
mean_curves_wapl_depleted_g2	0.4580000000000001	-0.3019599599599599	0.2529604726243082	0.7941753978632731	0.1350808321909737	Fig. 3b	
mean_curves_wapl_depleted_g2	0.4939999999999999	-0.2659599599599601	0.3212045680949522	0.8298330280015164	0.1585049987687004	Fig. 3b	
mean_curves_wapl_depleted_g2	0.5290000000000001	-0.2309599599599598	0.399438400998408	0.852701154171363	0.1929861723983289	Fig. 3b	
mean_curves_wapl_depleted_g2	0.5640000000000001	-0.1959599599599599	0.4834206181656177	0.8613735213409743	0.2368368694198509	Fig. 3b	
mean_curves_wapl_depleted_g2	0.5990000000000001	-0.1609599599599599	0.5668928493747619	0.8551660947955184	0.2867916329345197	Fig. 3b	
mean_curves_wapl_depleted_g2	0.6349999999999998	-0.1249599599599602	0.643374574458164	0.833383551826961	0.3414108964125261	Fig. 3b	
mean_curves_wapl_depleted_g2	0.67	-0.0899599599599599	0.7053267900631708	0.7954037346060406	0.4011989326154431	Fig. 3b	
mean_curves_wapl_depleted_g2	0.705	-0.05495995995996	0.7471153996818539	0.7436510675059312	0.4645121593794677	Fig. 3b	
mean_curves_wapl_depleted_g2	0.7400000000000002	-0.0199599599599598	0.7647800693779189	0.6811197284126722	0.5272253756444951	Fig. 3b	
mean_curves_wapl_depleted_g2	0.7759999999999999	0.0160400400400398	0.759479092063664	0.6120240598606866	0.5863850131400836	Fig. 3b	
mean_curves_wapl_depleted_g2	0.8109999999999999	0.0510400400400399	0.7337440798842413	0.5403312839103912	0.6420284884312445	Fig. 3b	
mean_curves_wapl_depleted_g2	0.8459999999999999	0.0860400400400398	0.6928059049165447	0.4686161259537518	0.6958297410100889	Fig. 3b	
mean_curves_wapl_depleted_g2	0.881	0.1210400400400399	0.6411297327260894	0.398202969492356	0.7457512588328319	Fig. 3b	
mean_curves_wapl_depleted_g2	0.917	0.15704004004004	0.5870282116589964	0.3322928818061879	0.7902328098173174	Fig. 3b	
mean_curves_wapl_depleted_g2	0.9519999999999998	0.1920400400400398	0.5242482100667201	0.26952531922217	0.8188299438853702	Fig. 3b	
mean_curves_wapl_depleted_g2	0.9869999999999998	0.2270400400400397	0.4605721868626768	0.2145517049600497	0.8333075563680812	Fig. 3b	
mean_curves_wapl_depleted_g2	1.0220000000000002	0.2620400400400402	0.3987055374459616	0.1688357978518966	0.8345740530459923	Fig. 3b	
mean_curves_wapl_depleted_g2	1.058	0.29804004004004	0.345488810408427	0.1340670571276575	0.8295236477967308	Fig. 3b	
mean_curves_wapl_depleted_g2	1.093	0.3330400400400399	0.2939926535387644	0.1069107937232482	0.814520427452878	Fig. 3b	
mean_curves_wapl_depleted_g2	1.128	0.3680400400400399	0.2487606441086668	0.0877994724508061	0.7894579271632152	Fig. 3b	
mean_curves_wapl_depleted_g2	1.1630000000000005	0.4030400400400402	0.2110896122516681	0.0738465194023215	0.7684222457944794	Fig. 3b	
mean_curves_wapl_depleted_g2	1.199	0.43904004004004	0.1781154779058236	0.065119151875961	0.735683884756678	Fig. 3b	
mean_curves_wapl_depleted_g2	1.2340000000000002	0.4740400400400402	0.151068110669773	0.0582756039931368	0.7104306928537283	Fig. 3b	
mean_curves_wapl_depleted_g2	1.269	0.5090400400400399	0.1284754265090199	0.0487160305310984	0.6931223166530196	Fig. 3b	
mean_curves_wapl_depleted_g2	1.304	0.54404004004004	0.110288244005286	0.0406528865899703	0.6691007222991399	Fig. 3b	
mean_curves_wapl_depleted_g2	1.34	0.5800400400400401	0.0972173624488509	0.0357450736465912	0.64229792591833	Fig. 3b	
mean_curves_wapl_depleted_g2	1.375	0.61504004004004	0.0853723075339844	0.032276620366707	0.6101730352341298	Fig. 3b	
