image_name	condition	spearman_correlation_coefficient	separation_score	figure_panel
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-01-46-47.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.635803285933804	0.658246	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-02-50.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.587532090897508	0.785142	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-03-51.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.592328729858539	0.772532	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-05-35-36.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.537406543265337	0.916912	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-05-35-37.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.618590723713855	0.703494	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-05-35-38.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.588403066392851	0.782852	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-06-40.czi #1.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.613442236322349	0.717029	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-06-40.czi #2.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.55986933286701	0.857862	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-07-41-43.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.587263011258179	0.785849	Fig2d
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-08-44.tif_registered.tif	wapl_dep_g2_one_sister_labelled_fig2b(wapl-dtag)	0.604067809582948	0.741672	Fig2d
