Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Characteristics [Cell Cycle Phase],Term Source 3 REF,Term Source 3 Accession,Experimental Condition [Sister Chromatid Labelling],Experimental Condition [Genome Editing],Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Assay Name,Source Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File,,,,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-01-84.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_1,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-01-84.czi #1.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-01-84.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-01-84.czi #2.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-03-88.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_3,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-03-88.czi #1.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-03-88.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_4,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-03-88.czi #2.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-04-85.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_5,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-04-85.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_6,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #1.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_7,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #2.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #3.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_8,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #3.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #5.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_9,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-05-89.czi #5.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-08-86.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_10,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-08-86.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #1.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_11,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #1.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_12,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #2.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #4.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_13,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep1-09-87.czi #4.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-01-90.czi #2.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_14,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-01-90.czi #2.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-01-90.czi #3.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_15,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-01-90.czi #3.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-100.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_16,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-100.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-92.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_17,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-92.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
