Dataset Name;Image Name;Characteristics [Organism];Term Source 1 REF;Term Source 1 Accession;Characteristics [Cell Line];Term Source 2 REF;Term Source 2 Accession;Comment [Cell Line];Characteristics [Cell Cycle Phase];Term Source 3 REF;Term Source 3 Accession;Experimental Condition [Sister Chromatid Labelling];Experimental Condition [Genome Editing];Experimental Condition [ # fill in];Comment [Gene Identifier];Comment [Gene Symbol];Comment [Gene Annotation Comments];Assay Name;Source Name;Image File;Comment [Image File Path];Comment [Image File Type];Channels;Processed Data File
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #01.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_1;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #01.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #02.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_2;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #02.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #03.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_3;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #03.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #04.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_4;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #04.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #05.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_5;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #05.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #06.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_6;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #06.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #07.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_7;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #07.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #08.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_8;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #08.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #09.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_9;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #09.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
NIPBL_AID_Minus;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #10.tif;Homo sapiens;NCBITaxon;9606;HeLa;EFO;EFO_0001185;HeLa Kyoto;Asynchronous;;;None;NIPBL-AID cell line. NIPBL tagged with mini-AID tag. OsTIR1F74G integrated into safe harbour locus for acute depletion of NIPBL upon addition of 5-Ph-IAA.;nipbl_aid_minus_aux;ENSG00000164190;NIPBL;;measure_nuclear_nipbl_levels;nipbl-aid_minus_aux_field_10;2045_minus_aux_stain_hoechst_nipbl_pos1-6 #10.tif;idr_upload/images/experiment5/nipbl-aid/nipbl_aid_minus_aux;processed;hoechst, nipbl-aid-megfp;idr0000_experiment5_processed_measure_nuclear_protein_levels_all_conditions.txt
