image_name	condition	length_split_axis	length_single_axis	length_smc_axis	percentage_split_smc_axes	figure_panel	normalised_nuclear_sororin_fluorescence
220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #1.tif_registered.tif	wt_late_prophase	27.43		30.748	89.2090542474307	appendix_fig_s2a	
220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #4.tif_registered.tif	wt_late_prophase	16.293		17.666	92.2280086040983	appendix_fig_s2a	
220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #5.tif_registered.tif	wt_late_prophase	20.203		21.05	95.9762470308789	appendix_fig_s2a	
220207_5389_WT_c1_rep1_prophase_smc4_axes_60min_stlc_hemi_zoom5-01-46.czi #6.tif_registered.tif	wt_late_prophase	35.334		38.258	92.3571540592817	appendix_fig_s2a	
220207_5389_WT_c1_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-60.czi #1.tif_registered.tif	wt_late_prophase	30.082		33.815	88.9605204790773	appendix_fig_s2a	
220207_5389_WT_c1_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-60.czi #2.tif_registered.tif	wt_late_prophase	20.98		25.492	82.300329515142	appendix_fig_s2a	
220207_5389_WT_c1_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-60.czi #3.tif_registered.tif	wt_late_prophase	19.672		22.105	88.9934403981	appendix_fig_s2a	
220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-93.tif_registered.tif	wt_late_prophase	16.433		17.1	96.0994152046784	appendix_fig_s2a	
220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #2.tif_registered.tif	wt_late_prophase	11.421		12.656	90.2417825537295	appendix_fig_s2a	
220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-03-140.czi #7.tif_registered.tif	wt_late_prophase	17.093		18.047	94.7138028481188	appendix_fig_s2a	
220530_5517_WT_hemi_15h_G2_prophase_rep1+2_stlc-01-65.czi #04.tif_registered.tif	wt_late_prophase	12.058		13.755	87.6626681206834	appendix_fig_s2a	
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-06-40.czi #1.tif_registered.tif	wapl_depleted_g2		68.216	68.882	0.96687088063645	appendix_fig_s2a	
220211_5389_2096_c1_rep1_wapl_dep_on_hemi_g2_zoom4_8-06-40.czi #2.tif_registered.tif	wapl_depleted_g2		62.123	68.855	9.7770677510711	appendix_fig_s2a	
